Code,Name
akari,Sony Xperia XZ2
akershus,ZTE Axon 9 Pro
alphaplus,LG G8
andromeda,Xiaomi MIX3 5G
ayn-odin,AYN Odin handheld
beholder,Nokia 9 PureView
beryllium,Xiaomi PocoPhone F1
beyond1qlte,Samsung Galaxy S10
blueline,Google Pixel 3
cepheus,Xiaomi MI9
cheeseburger,Oneplus 5
chiron,Xiaomi MIX2
dipper,Xiaomi MI8
draco,Asus ZenFone 5Z
dumpling,Oneplus 5T
enchilada,OnePlus 6
epsilon,Surface Duo
equuleus,Xiaomi MI8 UD
fajita,OnePlus 6T
flashlmdd,LG V50
guacamoleb,Oneplus 7
guacamole,Oneplus 7 Pro
joan,LG V30
judyln,LG G7
judyp,LG V35
judypn,LG V40
m1882,Meizu 16th
m1892,Meizu 16th Plus
mh2lm,LG V50S
nabu,Xiaomi Pad 5
nash,Motorola Moto Z2 Force
nx616j,Nubia X
pafm00,OPPO Find X
pd1821,Vivo NEX Dual Display
perseus,Xiaomi MIX3
polaris,Xiaomi MIX2S
raphael,Redmi K20 Pro
sagit,Xiaomi MI6
skr-a0,BlackShark One
star2qltechn,Samsung Galaxy S9+
trident,Smartisan R1
zs600kl,Asus ROG Phone
